Tempo;CasADi_Pwh_Bar;Linear_Pwh_Bar
1903;1333,3347133241311;106,20172633371666
1904;1333,6606253969994;106,19571699455717
1905;1333,9862812932715;106,18967285152452
1906;1334,3116668670343;106,18359408860285
1907;1334,6367680153355;106,177480889798
1908;1334,9615706786733;106,17133343913476
1909;1335,28606084148;106,16515192065391
1910;1335,6102245326078;106,15893651840967
1911;1335,9340478258132;106,15268741646668
1912;1336,2575168402418;106,14640479889735
1913;1336,580617740913;106,14008884977909
1914;1336,9033367392035;106,13373975319148
1915;1337,2256600933295;106,12735769321358
1916;1337,54757410883;106,12094285392115
1917;1337,8690651390496;106,1144954193839
1918;1338,1901195856187;106,10801557366284
1919;1338,5107238989347;106,1015035008074
1920;1338,8308645786417;106,09495938485283
1921;1339,1505281741106;106,0883834098175
1922;1339,469701284918;106,08177575970011
1923;1339,788370561321;106,07513661847705
1924;1340,1065227047382;106,06846617009973
1925;1340,4241444682225;106,06176459849185
1926;1340,7412226569384;106,05503208754672
1927;1341,0577441286346;106,0482688211247
1928;1341,3736957941178;106,0414749830504
1929;1341,6890646177244;106,03465075711017
1930;1342,0038376177913;106,0277963270493
1931;1342,318001867126;106,02091187656954
1932;1342,6315444934746;106,0139975893264
1933;1342,944452679991;106,00705364892647
1934;1343,2567136656992;106,00008023892498
1935;1343,568314745963;105,99307754282303
1936;1343,8792432729454;105,98604574406511
1937;1344,1894866560724;105,97898502603636
1938;1344,4990323624927;105,97189557206022
1939;1344,8078679175378;105,96477756539562
1940;1345,1159809051794;105,95763118923463
1941;1345,4233589684845;105,95045662669972
1942;1345,7299898100703;105,94325406084133
1943;1346,035861192557;105,93602367463527
1944;1346,340960939017;105,92876565098027
1945;1346,645276933427;105,9214801726953
1946;1346,9487971211145;105,91416742251724
1947;1347,2515095092006;105,90682758309825
1948;1347,553402167047;105,89946083700328
1949;1347,8544632266955;105,89206736670764
1950;1348,15468088331;105,88464735459445
1951;1348,4540433956108;105,87720098295222
1952;1348,7525390863132;105,86972843397231
1953;1349,050156342559;105,86222988974657
1954;1349,3468836163484;105,85470553226475
1955;1349,642709424969;105,84715554341223
1956;1349,9376223514232;105,83958010496745
1957;1350,231611044851;105,83197939859953
1958;1350,524664220953;105,8243536058658
1959;1350,8167706624104;105,81670290820952
1960;1351,1079192193022;105,80902748695735
1961;1351,3980988095184;105,801327523317
1962;1351,6872984191739;105,79360319837484
1963;1351,9755071030174;105,78585469309353
1964;1352,2627139848378;105,77808218830964
1965;1352,548908257869;105,77028586473129
1966;1352,834079185191;105,76246590293584
1967;1353,1182161001295;105,75462248336747
1968;1353,401308406651;105,74675578633483
1969;1353,6833455797546;105,73886599200885
1970;1353,9643171658647;105,73095328042032
1971;1354,2442127832164;105,72301783145751
1972;1354,5230221222407;105,71505982486403
1973;1354,8007349459438;105,70707944023638
1974;1355,0773410902873;105,69907685702182
1975;1355,3528304645606;105,69105225451592
1976;1355,6271930517553;105,68300581186045
1977;1355,9004189089312;105,67493770804096
1978;1356,1724981675834;105,66684812188468
1979;1356,4434210340023;105,65873723205821
1980;1356,7131777896338;105,65060521706523
1981;1356,9817587914338;105,64245225524438
1982;1357,2491544722188;105,63427852476694
1983;1357,5153553410155;105,62608420363465
1984;1357,7803519834054;105,61786946967761
1985;1358,0441350618637;105,60963450055192
1986;1358,3066953160999;105,60137947373757
1987;1358,5680235633902;105,5931045665363
1988;1358,8281106989061;105,58480995606942
1989;1359,0869476960438;105,57649581927556
1990;1359,3445256067441;105,56816233290864
1991;1359,600835561813;105,55980967353565
1992;1359,8558687712352;105,55143801753458
1993;1360,1096165244867;105,54304754109216
1994;1360,3620701908403;105,53463842020197
1995;1360,6132212196696;105,5262108306621
1996;1360,863061140749;105,51776494807322
1997;1361,1115815645476;105,50930094783632
1998;1361,3587741825195;105,50081900515087
1999;1361,604630767393;105,49231929501246
2000;1361,8491431734508;105,48380199221101
2001;1362,0923033368108;105,47526727132846
2002;1362,3341032756996;105,46671530673694
2003;1362,574535090721;105,45814627259657
2004;1362,8135909651244;105,44956034285353
2005;1363,0512631650652;105,440957691238
2006;1363,2875440398616;105,43233849126214
2007;1363,5224260222474;105,4237029162181
2008;1363,7559016286193;105,415051139176
2009;1363,987963459284;105,406383332982
2010;1364,2186041986931;105,39769967025624
2011;1364,4478166156816;105,38900032339096
2012;1364,6755935636968;105,38028546454844
2013;1364,9019279810227;105,37155526565911
2014;1365,1268128910033;105,36280989841964
2015;1365,3502414022576;105,35404953429094
2016;1365,5722067088911;105,34527434449622
2017;1365,7927020907052;105,33648450001915
2018;1366,011720913397;105,3276801716019
2019;1366,2292566287583;105,31886152974323
2020;1366,4453027748677;105,31002874469662
2021;1366,659852976279;105,30118198646842
2022;1366,8729009442038;105,2923214248159
2023;1367,0844404766924;105,28344722924544
2024;1367,2944654588032;105,27455956901066
2025;1367,5029698627752;105,26565861311059
2026;1367,709947748189;105,25674453028779
2027;1367,9153932621273;105,24781748902657
2028;1368,1193006393278;105,23887765755111
2029;1368,321664202332;105,22992520382371
2030;1368,5224783616293;105,22096029554292
2031;1368,7217376157957;105,21198310014182
2032;1368,9194365516282;105,20299378478622
2033;1369,1155698442728;105,19399251637279
2034;1369,3101322573482;105,18497946152739
2035;1369,5031186430645;105,1759547866033
2036;1369,6945239423367;105,16691865767946
2037;1369,8843431848927;105,15787124055868
2038;1370,0725714893772;105,14881270076596
2039;1370,2592040634495;105,13974320354676
2040;1370,4442362038747;105,1306629138653
2041;1370,6276632966146;105,12157199640278
2042;1370,8094808169076;105,11247061555578
2043;1370,989684329347;105,10335893543447
2044;1371,1682694879526;105,09423711986102
2045;1371,3452320362383;105,08510533236792
2046;1371,520567807273;105,07596373619623
2047;1371,6942727237379;105,06681249429403
2048;1371,8663427979761;105,05765176931469
2049;1372,0367741320395;105,04848172361532
2050;1372,2055629177296;105,03930251925506
2051;1372,372705436632;105,03011431799354
2052;1372,538198060147;105,02091728128917
2053;1372,702037249513;105,01171157029766
2054;1372,8642195558293;105,00249734587037
2055;1373,0247416200664;104,99327476855265
2056;1373,1836001730765;104,9840439985824
2057;1373,3407920355974;104,97480519588846
2058;1373,4963141182495;104,96555852008899
2059;1373,6501634215308;104,95630413049001
2060;1373,8023370358014;104,94704218608379
2061;1373,9528321412693;104,9377728455474
2062;1374,101646007964;104,92849626724107
2063;1374,24877599571;104,91921260920681
2064;1374,3942195540935;104,90992202916682
2065;1374,537974222422;104,90062468452201
2066;1374,6800376296815;104,89132073235058
2067;1374,8204074944854;104,8820103294064
2068;1374,9590816250206;104,8726936321177
2069;1375,0960579189875;104,8633707965855
2070;1375,2313343635337;104,8540419785822
2071;1375,3649090351832;104,84470733355019
2072;1375,4967800997617;104,83536701660032
2073;1375,6269458123143;104,8260211825105
2074;1375,7554045170175;104,81666998572435
2075;1375,8821546470897;104,80731358034973
2076;1376,0071947246943;104,79795212015733
2077;1376,1305233608348;104,78858575857939
2078;1376,252139255249;104,77921464870815
2079;1376,3720411962963;104,76983894329462
2080;1376,4902280608387;104,7604587947472
2081;1376,6066988141179;104,7510743551302
2082;1376,721452509628;104,74168577616267
2083;1376,8344882889808;104,73229320921695
2084;1376,9458053817666;104,72289680531736
2085;1377,0554031054119;104,71349671513896
